ID,DESCRIPTION,CATEGORY,SUB_CATEGORY,LOW_ALERT_QTY,PRICE,USAGE_2021,USAGE_2022,USAGE_2023,USAGE_2024,USAGE_2025,AVG_USAGE,ETR,LOCATION,SUB_LOCATION,QTY,SOURCE,PO_NUMBER,DATE_RECEIVED
563-10-4125,7IN 9X8 AMBER,OUTDOOR ETN,AMBER,250,,,32,39,41,,37,33.8 MONTHS,WH-J,R6,105,OH,,
563-10-4126,7IN 9X8 RED,OUTDOOR ETN,RED,250,,,19,18,-5,,11,90.0 MONTHS,WH-J,R6,80,OH,,
563-10-4135,5IN 7X8 AMBER,OUTDOOR ETN,AMBER,250,,,20,39,-8,,17,52.2 MONTHS,WH-J,R6,74,OH,,
563-10-4136,5IN 7X8 RED,OUTDOOR ETN,RED,250,,,15,27,-10,,11,9.0 MONTHS,WH-J,R6,8,OH,,
563-15-0000,PACTEC,WHH,HOUSING,,,,,,,,,N/A,WH-J,JK,41,OH,,
563-20-1000,11 IN FULL DIGIT RED,OUTDOOR LED BOARD,RED,200,,,1267,1167,1232,,1222,11.6 MONTHS,WH-C,,900,OH,,
563-20-1000,11 IN FULL DIGIT RED,OUTDOOR LED BOARD,RED,200,,,1267,1167,1232,,1222,11.6 MONTHS,PROD,SHELF,284,OH,,
563-20-1010,15 IN FULL DIGIT RED,OUTDOOR LED BOARD,RED,500,,,,,,,,N/A,WH-C,,940,OH,,
563-20-1010,15 IN FULL DIGIT RED,OUTDOOR LED BOARD,RED,500,,,,,,,,N/A,PROD,SHELF,320,OH,,
563-20-1100,11 IN FULL DIGIT AMBER,OUTDOOR LED BOARD,AMBER,200,,,1624,1552,1426,,1534,7.7 MONTHS,PROD,SHELF,350,OH,,
563-20-1100,11 IN FULL DIGIT AMBER,OUTDOOR LED BOARD,AMBER,200,,,1624,1552,1426,,1534,7.7 MONTHS,WH-C,,630,OH,,
563-20-1110,3IN 3-BULLET BALL,OUTDOOR ETN,RED,0,,,19,20,59,,33,80.8 MONTHS,WH-J,S-2A,220,OH,,
563-20-1120,3IN 2-BULLET S/O,OUTDOOR ETN,RED,0,,,34,44,30,,36,162.7 MONTHS,WH-J,S-2A,468,OH,,
563-20-1120,3IN 2-BULLET S/O,OUTDOOR ETN,RED,0,,,34,44,30,,36,162.7 MONTHS,PROD,SHERRI,20,OH,,
563-20-1160,15INCH E,OUTDOOR LED BOARD,RED,30,,,23,30,31,,28,30.0 MONTHS,WH-J,ROW S,70,OH,,
563-20-1161,15INCH E,OUTDOOR LED BOARD,AMBER,30,,,34,40,53,,42,31.2 MONTHS,WH-J,R4 GROUND,110,OH,,
563-20-1170,15INCH H,OUTDOOR LED BOARD,RED,30,,,28,27,26,,27,30.7 MONTHS,WH-J,L2,69,OH,,
563-20-1171,15INCH H,OUTDOOR LED BOARD,AMBER,30,,,33,39,28,,33,50.0 MONTHS,WH-J,RACK 4 GROUND,139,OH,,
563-20-1212,15IN FULL DIGIT AMBER,OUTDOOR LED BOARD,AMBER,500,,,1806,2351,2300,,2152,6.4 MONTHS,WH-C,,1000,OH,,
563-20-1212,15IN FULL DIGIT AMBER,OUTDOOR LED BOARD,AMBER,500,,,1806,2351,2300,,2152,6.4 MONTHS,PROD,SHELF,150,OH,,
563-20-1213,3IN 3-BULLET BALL,EM OUTDOOR LED,AMBER,0,,,,,,,,N/A,PROD,SHERRI,20,OH,,
563-20-1214,3IN 2-BULLET S/O,EM OUTDOOR,AMBER,0,,,,,,,,N/A,PROD,SHERRI,20,OH,,
563-20-1215,4INCH BALL,OUTDOOR LED BOARD,AMBER,50,,,134,146,122,,134,11.6 MONTHS,WH-J,R-2B,130,OH,,
563-20-1216,4INCH S/O,OUTDOOR LED BOARD,AMBER,100,,,271,290,248,,270,11.8 MONTHS,WH-J,R-2B,266,OH,,
563-20-1217,4INCH MISC,OUTDOOR LED BOARD,AMBER,50,,,215,179,166,,187,10.0 MONTHS,WH-J,R-2B,155,OH,,
563-20-1221,4IN QTR 1-2 OR 3-4,EM OUTDOOR LED,AMBER,0,,,,,,,,N/A,PROD,SHERRI,20,OH,,
563-20-1224,18 IN FULL DIGIT AMBER,OUTDOOR LED BOARD,AMBER,500,,,1593,2258,1868,,1906,7.6 MONTHS,WH-K,,360,OH,,
563-20-1224,18 IN FULL DIGIT AMBER,OUTDOOR LED BOARD,AMBER,500,,,1593,2258,1868,,1906,7.6 MONTHS,WH-C,,780,OH,,
563-20-1224,18 IN FULL DIGIT AMBER,OUTDOOR LED BOARD,AMBER,500,,,1593,2258,1868,,1906,7.6 MONTHS,PROD,SHELF,60,OH,,
563-20-1240,FB POSS MED,OUTDOOR LED BOARD,RED,20,,,66,76,51,,64,50.4 MONTHS,WH-J,L2 GROUND,270,OH,,
563-20-1241,FB POSS MED,OUTDOOR LED BOARD,AMBER,20,,,100,149,44,,98,32.1 MONTHS,WH-J,R4 TOP/GROUND,261,OH,,
563-20-1242,"SM FOOTBALL POSS,",EM OUTDOOR LED,RED,0,,,,,,,,N/A,PROD,SHERRI,20,OH,,
563-20-1243,"SM FOOTBALL POSS,",EM OUTDOOR LED,AMBER,0,,,,,,,,N/A,PROD,SHERRI,20,OH,,
563-20-1250,18IN HALF DIGIT,EM OUTDOOR LED,RED,0,,,,,,,,N/A,PROD,SHERRI,20,OH,,
563-20-1251,18IN HALF DIGIT,EM OUTDOOR LED,AMBER,0,,,,,,,,N/A,PROD,SHERRI,20,OH,,
563-20-1260,4INCH MISC,OUTDOOR LED BOARD,RED,250,,,754,607,293,,551,14.7 MONTHS,WH-J,S-1A,675,OH,,
563-20-1270,4IN DOWN 1-2 or 3-4,EM OUTDOOR LED,RED,0,,,,,,,,N/A,PROD,SHERRI,20,OH,,
563-20-1271,4IN DOWN 1-2 or 3-4,EM OUTDOOR LED,AMBER,0,,,,,,,,N/A,PROD,SHERRI,20,OH,,
563-20-1280,4INCH BALL,OUTDOOR LED BOARD,RED,50,,,125,221,229,,192,10.6 MONTHS,WH-J,S-1A,170,OH,,
563-20-1290,4INCH S/O,OUTDOOR LED BOARD,RED,100,,,259,435,434,,376,8.9 MONTHS,WH-J,S-1A,280,OH,,
563-20-1296,18 IN FULL DIGIT RED,OUTDOOR LED BOARD,RED,500,,,1795,2197,2369,,2120,16.7 MONTHS,PROD,SHELF,125,OH,,
563-20-1296,18 IN FULL DIGIT RED,OUTDOOR LED BOARD,RED,500,,,1795,2197,2369,,2120,16.7 MONTHS,WH-K,,800,OH,,
563-20-1296,18 IN FULL DIGIT RED,OUTDOOR LED BOARD,RED,500,,,1795,2197,2369,,2120,16.7 MONTHS,WH-C,,2020,OH,,
563-20-1416,24 IN FULL DIGIT RED,OUTDOOR LED BOARD,RED,500,,,681,709,653,,681,11.9 MONTHS,PROD,SHELF,40,OH,,
563-20-1416,24 IN FULL DIGIT RED,OUTDOOR LED BOARD,RED,500,,,681,709,653,,681,11.9 MONTHS,WH-C,,335,OH,,
563-20-1416,24 IN FULL DIGIT RED,OUTDOOR LED BOARD,RED,500,,,681,709,653,,681,11.9 MONTHS,WH-K,,300,OH,,
563-20-1422,24 IN FULL DIGIT AMBER,OUTDOOR LED BOARD,AMBER,500,,,818,1409,815,,1014,8.3 MONTHS,WH-C,,225,OH,,
563-20-1422,24 IN FULL DIGIT AMBER,OUTDOOR LED BOARD,AMBER,500,,,818,1409,815,,1014,8.3 MONTHS,WH-K,,80,OH,,
563-20-1422,24 IN FULL DIGIT AMBER,OUTDOOR LED BOARD,AMBER,500,,,818,1409,815,,1014,8.3 MONTHS,PROD,SHELF,400,OH,,
563-20-1612,30INCH BOTTOM,OUTDOOR LED BOARD,RED,20,,,114,99,122,,112,49.9 MONTHS,WH-J,RACK 5,464,OH,,
563-20-1625,30INCH MIDDLE,OUTDOOR LED BOARD,RED,20,,,112,96,60,,89,61.9 MONTHS,WH-J,R5,461,OH,,
563-20-1632,30INCH TOP,OUTDOOR LED BOARD,RED,20,,,114,99,171,,128,44.0 MONTHS,WH-J,R5,469,OH,,
563-20-1912,30INCH BOTTOM,OUTDOOR LED BOARD,AMBER,20,,,165,200,101,,155,19.3 MONTHS,WH-J,R3 GROUND,250,OH,,
563-20-1925,30INCH MIDDLE,OUTDOOR LED BOARD,AMBER,20,,,174,208,98,,160,18.0 MONTHS,WH-J,R3 GROUND,240,OH,,
563-20-1932,30INCH TOP,OUTDOOR LED BOARD,AMBER,20,,,166,199,90,,152,19.8 MONTHS,WH-J,R3 GROUND,250,OH,,
563-26-0401,GAME CLOCK COMBO,WHH,WIREd,,,,,,,,,N/A,WH-J,JK,84,OH,,
563-26-0420,BASEBALL KEYPAD,WHH,KEYPAD,,,,,,,,,N/A,WH-J,JK,42,OH,,
563-26-0421,10 BUTTON KEYPAD,WHH,KEYPAD,,,,,,,,,N/A,WH-J,JK,136,OH,,
563-26-0422,MISC KEYPAD,WHH,KEYPAD,,,,,,,,,N/A,WH-J,JK,178,OH,,
563-26-0600,GAME CLOCK INSERT,WHH,WIRELESS,,,,,,,,,N/A,WH-J,JK,220,OH,,
563-26-0601,GAME INSERT WIRED,WHH,WIRED,,,,,,,,,N/A,WH-J,JK,438,OH,,
563-26-0602,PLAY  CLOCK INSERT,WHH,WIRELESS,,,,,,,,,N/A,WH-J,JK,199,OH,,
563-26-0603,PLAY CLOCK INSERT WIRED,WHH,WIRED,,,,,,,,,N/A,WH-J,JK,67,OH,,
563-26-0604,SHOT CLOCK INSERT,WHH,WIRELESS,,,,,,,,,N/A,WH-J,JK,220,OH,,
563-26-0605,SHOT CLOCK INSERT WIRED,WHH,WIRED,,,,,,,,,N/A,WH-J,JK,382,OH,,
563-26-0606,SEGMENT INSERT,WHH,WIRELESS,,,,,,,,,N/A,WH-J,JK,130,OH,,
563-26-0608,BASEBALL INSERT,WHH,WIRELESS,,,,,,,,,N/A,WH-J,JK,150,OH,,
563-26-0609,PITCH COUNT INSERT,WHH,WIRELESS,,,,,,,,,N/A,WH-J,JK,148,OH,,
563-26-0610,RADAR GUN INSERT,WHH,WIRELESS,,,,,,,,,N/A,WH-J,JK,85,OH,,
563-26-1403,PLAY CLOCK V276 COMBO,WHH,WIRED,,,,,,,,,N/A,WH-J,JK,100,OH,,
563-26-1405,SHOT CLOCK V276 COMBO,WHH,WIRED,,,,,,,,,N/A,WH-J,JK,209,OH,,
563-26-1603,PLAY CLOCK V276 INSERT,WHH,WIRED,,,,,,,,,N/A,WH-J,JK,55,OH,,
563-26-1605,SHOT CLOCK V276 INSERT,WHH,WIREd,,,,,,,,,N/A,WH-J,JK,55,OH,,
